U+1B3BD	SHUISHU LOGOGRAM TAAM1
U+1B3BE	SHUISHU LOGOGRAM XGAAN6
U+1B3BF	SHUISHU LOGOGRAM TIN1
U+1B3C0	SHUISHU LOGOGRAM GON5
U+1B3C1	SHUISHU LOGOGRAM LIU4
U+1B3C2	SHUISHU LOGOGRAM XEEN1
U+1B3C3	SHUISHU LOGOGRAM HAANG4
U+1B3C4	SHUISHU LOGOGRAM SOG8-A
U+1B3C5	SHUISHU LOGOGRAM LO5
U+1B3C6	SHUISHU LOGOGRAM DYEENG1
U+1B3C7	SHUISHU LOGOGRAM GGAAN5 GGONG1
U+1B3C8	SHUISHU LOGOGRAM YA3
U+1B3C9	SHUISHU LOGOGRAM DOG7
U+1B3CA	SHUISHU LOGOGRAM BAAG8
U+1B3CB	SHUISHU LOGOGRAM HA3
U+1B3CC	SHUISHU LOGOGRAM BEEG7
U+1B3CD	SHUISHU LOGOGRAM U1
U+1B3CE	SHUISHU LOGOGRAM PYEE1
U+1B3CF	SHUISHU LOGOGRAM SI2
U+1B3D0	SHUISHU LOGOGRAM GGAO5
U+1B3D1	SHUISHU LOGOGRAM FU5
U+1B3D2	SHUISHU LOGOGRAM QYUM5-B
U+1B3D3	SHUISHU LOGOGRAM JED7
U+1B3D4	SHUISHU LOGOGRAM QDYU3
U+1B3D5	SHUISHU LOGOGRAM NNUN2
U+1B3D6	SHUISHU LOGOGRAM HAAD8
U+1B3D7	SHUISHU LOGOGRAM LYEEN2
U+1B3D8	SHUISHU LOGOGRAM QYU3
U+1B3D9	SHUISHU LOGOGRAM BYAM1
U+1B3DA	SHUISHU LOGOGRAM DU3 QDAO3
U+1B3DB	SHUISHU LOGOGRAM QDAI1 VAN1
U+1B3DC	SHUISHU LOGOGRAM SUB8
U+1B3DD	SHUISHU LOGOGRAM XED7-A
U+1B3DE	SHUISHU LOGOGRAM SUB8 QYED7
U+1B3DF	SHUISHU LOGOGRAM GAM3
U+1B3E0	SHUISHU LOGOGRAM GUB7
U+1B3E1	SHUISHU LOGOGRAM JU3
U+1B3E2	SHUISHU LOGOGRAM NGO2
U+1B3E3	SHUISHU LOGOGRAM ZOU6
U+1B3E4	SHUISHU LOGOGRAM SUB8 NNI6
U+1B3E5	SHUISHU LOGOGRAM HAG7
U+1B3E6	SHUISHU LOGOGRAM DAI6 JED7
U+1B3E7	SHUISHU LOGOGRAM MU6
U+1B3E8	SHUISHU LOGOGRAM ZYEE1
U+1B3E9	SHUISHU LOGOGRAM DEI2 JEN1
U+1B3EA	SHUISHU LOGOGRAM XI4
U+1B3EB	SHUISHU LOGOGRAM XI3-A
U+1B3EC	SHUISHU LOGOGRAM SU3-A
U+1B3ED	SHUISHU LOGOGRAM HMA3
U+1B3EE	SHUISHU LOGOGRAM UM3
U+1B3EF	SHUISHU LOGOGRAM REN1 LAO4
U+1B3F0	SHUISHU LOGOGRAM FONG2 DOU3
U+1B3F1	SHUISHU LOGOGRAM TYEEN1 GGAANG1 OU4
