213	JU3GGAO3/JU3PEN1	ȶu³ pʰən¹	九喷(条目名称)	S7
214	JU3SUI3BEEU5	ȶu³ sui³ peu⁵	箕水豹	S3
215	JUI3JUM1YAANG2	ȶui³ ȶum¹ jaːŋ²	鬼金羊	S1
216	JUI3SAAD7JA1	ȶui³ saːt⁷ ȶa¹	鬼转家	S5
217	JUI5	ȶui⁵	癸	S8
218	JUM1	ȶum¹	金	S4
219	KAAM3	kʰaːm³	管	S6
220	KAANG5	kʰaːŋ⁵	吹风	S8
221	KKAAM3	qʰaːm³	坎	S8
222	KKAANG1	qʰaːŋ¹	椽子	S6
223	KKAG7	qʰak⁷	相克	S1
224	KKOU1	qʰau¹	勾	S4
225	KKOU3	qʰau³	男仆	S6
226	KKOU3	qʰau³	女佣	S8
227	KKUI1MOK8LAANG2	qʰui¹ mok⁸ laːŋ²	奎木狼	S1
228	KUI3	kʰui³	衰败	S6
229	KUN1	kʰun¹	路	S6
230	LA1	la¹	架设	S3
231	LA2MAANG4	la² maːŋ⁴	腊忙	S1
232	LAAG8	laːk⁸	孩子	S6
233	LAAG8MBAAN1	laːk⁸ ᵐbaːn¹	儿子	S6
234	LAI6	laːi⁶	选	S8
235	LAM1	lam¹	个	S6
236	LANG6	laŋ⁶	避开	S6
237	LEN2	lən²	后	S6
238	LI2	li²	离	S8
239	LIN3	lin³	翻转	S4
240	LIU4	liu⁴	完	S6
241	LO1	lo¹	行星	S8
242	LO5	lo⁵	声音	S6
243	LOG7	lok⁷	粮仓	S6
244	LOI2JUM1GGOU3	loi² ȶum¹ qau³	娄金狗	S3
245	LOU4	lau⁴	赶	S6
246	LU1	lu¹	马蜂	S4
247	LU4TU3ZAANG1	lu⁴ tʰu³ tsaːŋ¹	柳土獐	S1
248	LUI5	lui⁵	往下走	S6
249	LUNG5	luŋ⁵	栏	S3
250	LWA1	lwa¹	船	S3
251	LYEEN2	ljen²	连	S6
252	LYEEM2	ljem²	廉贞星	S8
253	LYEEU4JA1XOD7	ljeu⁴ ȶa¹ ɕot⁷	家产破败	S5
254	LYEEU2	ljeu²	了	S6
255	LYOG8-A	ljok⁸	禄	S8
256	LYOG8-B	ljok⁸	六	S5
257	LYU2LI2SUI3	lju² li² sui³	哭丧	S5
258	MA4	ma⁴	马	S4
259	MAANG1	maːŋ¹	鬼	S1
260	MAN1	man¹	他	S3
261	MAN6-A	man⁶	留下	S6
262	MAN6-B	man⁶	丢下	S6
263	MAO4	maːu⁴	卯	S1
264	MBAAN1	ᵐbaːn¹	男	S3
265	MBEE1	ᵐbe¹	年	S1
266	MBYAANG1OU4	ᵐbjaːŋ¹ ʔau⁴	谷穗	S7
267	MEE2	me²	没	S6
268	MEE2DU3QDAO3	me² tu³ ʔdaːu³	不团结	S6
269	MEI4DYED7	mai⁴ tjət⁷	扫帚	S1
270	MEI4NNEI3	mai⁴ ȵai³	木鞭	S6
271	HMAAN3	mai⁴ nuk⁸ aːn³	黄(饭花)	S3
272	MI6	mi⁶	未	S1
273	MID8	mit⁸	刀	S3
274	MING6	miŋ⁶	命	S3
275	MYEED8	mjet⁸	灭	S6
276	MOG8	mok⁸	木	S4
277	MOK8FONG2	mok⁸ foŋ²	缠绕	S5
278	MOM6	mom⁶	鱼	S3
279	MON1	mon¹	雾	S3
280	MON6	mon⁶	猴	S4
281	MU6	mu⁶	戊	S2
282	MYEED8MEN2	mjet⁸ mən²	灭门	S1
283	MYEEN2	mjen²	棉	S6
284	MYO3	mjo³	将要	S6
285	NAAM2	naːm²	罗盘	S4
286	NAI6	naːi⁶	这	S6
287	NDA1	ⁿda¹	眼	S6
288	NDAAN5	ⁿdaːn⁵	逃	S6
289	NDAI5	ⁿdaːi⁵	旱地	S6
290	NDEN1	ⁿdən¹	身子	S3
291	NDONG5	ⁿdoŋ⁵	项圈	S7
292	NDOU5	dau⁵	装	S6
293	NDU3	ⁿdu³	热	S6
294	NDYEI3	ⁿdjai³	买	S6
295	NGA2NNID8JI1	ŋa² ȵit⁸ ȶi¹	昴日鸡	S3
296	NGA2TU3DI6	ŋa² tʰu³ ti⁶	胃土雉	S3
297	NGAAN5	ŋaːn⁵A	疯	S6
298	NGAAN6	ŋaːn⁶	鹅	S8
299	NGO2	ŋo²	午	S4
300	NGO4	ŋo⁴	五	S1
301	NGO4GGUI5	ŋo⁴ qui⁵	五槌	S4
302	NGO4HU3	ŋo⁴ hu³	五虎(条目名称)	S7
303	NI4	ni⁴	母	S6
304	NI4FA3HU3	ni⁴ fa³ hu³	尾火虎	S3
305	NNAAN1	ȵaːn¹	铜鼓	S4
306	NNAO6	ȵaːu⁶	在	S6
307	NNAO6	ȵaːu⁶	坐落	S8
308	NNI6	ȵi⁶/ ɣa²	二	S3
309	NNI6SUB8	ȵi⁶ sup⁸	二十	S4
310	NNUN2	ȵun²	恨	S6
311	NNU2JUM1NNU2	ȵu² ȶum¹ ȵu²	牛金牛	S1
312	NNUM2	ȵum²	壬	S7
313	NU2	nu²	山	S3
314	NUG8	nuk⁸	花	S8
315	NUN2	nun²	睡	S6
316	NYEEM6YU5	njem⁶ ju⁵	喊去	S5
317	NYEEN2	njen²	月份	S1
318	NYU4NNOD8IN5	nju⁴ ȵot⁸ ʔin⁵	危月燕	S3
319	NYU4TU3FOG8	nju⁴ tʰu³ fok⁸	女土蝠	S3
320	NYUM5	njum⁵	顺	S6
321	PA5-A	pʰa⁵	破军星	S5;S6
322	PA5-B	pʰa⁵	坏	S6
323	PAAD7BYEN2	paːt⁷ pjən²	八平(条目名称)	S4
324	PEEU1NNAN2	pʰeu¹ ȵan²	银包	S4
325	PYA3	pʰja³	翻	S6
326	PYAAN6	pʰjaːn⁶	破散	S6
327	PYEE1	pʰje¹	低能	S6
328	PYEI5	pʰjai⁵	近	S6
329	QBA3	ʔba³	蝴蝶	S6
330	QBAAN3	ʔbaːn³	寨子	S6
331	QBEN1	ʔben¹	天	S4
332	QBYAAG7	ʔbjaːk⁷	女	S6
333	QBYAI5	ʔbjaːi⁵	瓢	S6
334	QDAI1	ʔdaːi¹	好	S6
335	QDAI1VAN1	ʔdaːi¹ van¹	太阳	S7
336	QDEI3	ʔdai³	得	S3
337	QDEE3	ʔde³	梯	S4
338	QDONG1	ʔdoŋ¹	森林	S5
339	QDONG1LAO4	ʔdoŋ¹ laːu⁴	大森林	S5
340	QDYA1	ʔdja¹	剩	S5
341	QDYU3	ʔdju³	舂杵	S6
342	QNA3	ʔna³	前	S6
343	QNGEE3	ʔŋe³	哭	S8
344	QNNAAM1QNNAG7	ʔȵaːm¹ ʔȵak⁷	凶恶	S6
345	QNNAM5	ʔȵam⁵	晚上	S6
346	QXGA5	ʔɣa⁵	田	S4
347	QXGA5VA2	ʔɣa⁵ va²	荒田	S4
348	QXGEN5JA1	ʔjau⁵ ȶa¹	败财	S1
349	QXGOG7	ʔɣok⁷	涨	S6
350	QYAM1	ʔjam¹	深	S6
351	QYED7-A	ʔjət⁷/ to²	一	S7
352	QYED7-B	ʔjət⁷	乙	S7
353	QYEN5DI4	ʔjən⁵ ti⁴	引提(条目名称)	S1
354	QYON1	ʔjon¹	站	S6
355	QYU3	ʔju³	伸	S6
356	QYUM5-A	ʔjum⁵	漫	S8
357	QYUM5-B	ʔjum⁵	遍布	S4
358	RED7	zət⁷	星辰	S8
359	REN1-A	zən¹	人才	S8
360	REN1-B	zən¹	人	S1
361	REN1DEI2JI2	zən¹ tai² ȶi²	拿旗人	S4
362	REN1DEI2XAANG1	zən¹ tai² ɕaːŋ¹	拿梭镖人	S4
363	REN1DYAM2BYA2	zən¹ tjam² pja²	扑碗人	S4
364	REN1LAO4	zən¹ laːu⁴	逝世	S1
365	SA1BONG2	sa¹ poŋ²	沙朋(条目名称)	S4
366	SA5	sa⁵	增殖	S6
367	SA5SJEENG1	sa⁵ sjeŋ¹	杀伤(条目名称)	S5
368	SA5XEEN2	sa⁵ ɕen²	挣钱	S8
369	SAAM3	saːm³	走	S6
370	SAM5SUI3YON2	sam⁵ sui³ jon²	参水猿	S1
371	SAAN1	saːn¹	宫(掌宫)	S8
372	SAI3	saːi³	问	S6
373	SAI6FAN1	saːi⁶ fan¹	竹林	S6
374	SAM5	sam⁵	"倒,败"	S6
375	SEE1	se¹	梳子	S1
376	SEENG1LAO4	seŋ¹ laːu⁴	大牲口	S4
377	SEI5	sai⁵	诬害	S4
378	SEN1-A	sən¹	申	S5
379	SEN1-B	sən¹	春	S4
380	SEN2	sən²	辰	S1
381	SI2	si²	时	S1
382	SID7	sit⁷	撕开	S4
383	SING2	siŋ²	城墙	S6
384	SO1	so¹	初	S4
385	SO3SYEEN1	so³ sjen¹	梭线(条目名称)	S7
386	SOG8-A	sok⁸	属	S3
387	SOG8-B	sok⁸	熟	S6
388	SU1NNED8SU1	su¹ ȵət⁸ su¹	虚日鼠	S3
389	SU3-A	su³	丑	S7
390	SU3-B	su³	守	S6
391	SUB8	sup⁸	十	S1
392	SUB8NNI6	sup⁸ ȵi⁶	十二	S7
393	SUB8QYED7	sup⁸ ʔjət⁷	十一	S7
394	SAO5	saːu⁵	烧	S6
395	SUI3	sui³	水	S8
396	SUM3	sum³	刚刚	S6
397	SYAANG1NNED8MA4	sjaːŋ¹ ȵət⁸ ma⁴	星日马	S1
398	SYAANG6	sjaːŋ⁶	旺盛	S3
399	SYEEN1	sjen¹	仙	S3
400	TAAM1	tʰaːm¹	贪狼星	S1
401	TIN1	tin¹	脚	S6
402	TU3	tʰu³	土	S1
403	TYEEN1DYEEN6	tʰjen¹ tjen⁶	宫殿	S6
404	TYEEN1GGAANG1	tʰjen¹ qaːŋ¹	天罡	S3
