U+1B4A3	210 310 2888 1777 86
U+1B4A4	210 310 2888 2107 86
U+1B4A5	210 310 2888 2437 86
U+1B4A6	210 310 2888 2767 86
U+1B4A7	210 310 2888 3097 86
U+1B4A8	210 310 2888 3427 86
U+1B4A9	210 310 2888 3757 86
U+1B4AA	210 310 2887 4087 86
U+1B4AB	210 310 2887 4417 86
U+1B4AC	210 310 2888 4747 86
U+1B4AD	210 310 2888 5077 86
U+1B4AE	210 310 2887 5407 86
U+1B4AF	210 310 2888 5737 86
U+1B4B0	210 310 3119 787 86
U+1B4B1	210 310 3119 1117 86
U+1B4B2	210 310 3119 1447 86
U+1B4B3	210 310 3119 1777 86
U+1B4B4	210 310 3119 2107 86
U+1B4B5	210 310 3119 2437 86
U+1B4B6	210 310 3119 2767 86
U+1B4B7	210 310 3119 3097 86
U+1B4B8	210 310 3119 3427 86
U+1B4B9	210 310 3119 3757 86
U+1B4BA	210 310 3118 4087 86
U+1B4BB	210 310 3118 4417 86
U+1B4BC	210 310 3119 4747 86
U+1B4BD	210 310 3119 5077 86
U+1B4BE	210 310 3118 5407 86
U+1B4BF	210 310 3119 5737 86
U+1B4C0	210 310 3350 787 86
U+1B4C1	210 310 3350 1117 86
U+1B4C2	210 310 3350 1447 86
U+1B4C3	210 310 3350 1777 86
U+1B4C4	210 310 3350 2107 86
U+1B4C5	210 310 3350 2437 86
U+1B4C6	210 310 3350 2767 86
U+1B4C7	210 310 3350 3097 86
U+1B4C8	210 310 3350 3427 86
U+1B4C9	210 310 3350 3757 86
U+1B4CA	210 310 3350 4087 86
U+1B4CB	210 310 3350 4417 86
U+1B4CC	210 310 3350 4747 86
U+1B4CD	210 310 3350 5077 86
U+1B4CE	210 310 3350 5407 86
U+1B4CF	210 310 3350 5737 86
U+1B4D0	210 310 3580 787 86
U+1B4D1	210 310 3580 1117 86
U+1B4D2	210 310 3580 1447 86
U+1B4D3	210 310 3580 1777 86
U+1B4D4	210 310 3580 2107 86
U+1B4D5	210 310 3580 2437 86
U+1B4D6	210 310 3580 2767 86
U+1B4D7	210 310 3580 3097 86
U+1B4D8	210 310 3580 3427 86
U+1B4D9	210 310 3580 3757 86
U+1B4DA	210 310 3580 4087 86
U+1B4DB	210 310 3580 4417 86
U+1B4DC	210 310 3580 4747 86
U+1B4DD	210 310 3580 5077 86
U+1B4DE	210 310 3580 5407 86
U+1B4DF	210 310 3580 5737 86
U+1B4E0	210 310 3811 787 86
U+1B4E1	210 310 3811 1117 86
U+1B4E2	210 310 3811 1447 86
U+1B4E3	210 310 3811 1777 86
U+1B4E4	210 310 3811 2107 86
U+1B4E5	210 310 3811 2437 86
U+1B500	244 310 1366 787 93
U+1B501	244 310 1366 1117 93
U+1B502	244 310 1366 1447 93
U+1B503	244 310 1366 1777 93
U+1B504	244 310 1366 2107 93
U+1B505	244 310 1366 2437 93
U+1B506	244 310 1366 2767 93
U+1B507	244 310 1366 3097 93
U+1B508	244 310 1366 3427 93
U+1B509	244 310 1366 3757 93
U+1B50A	244 310 1366 4087 93
U+1B50B	244 310 1366 4417 93
U+1B50C	244 310 1366 4747 93
U+1B50D	244 310 1366 5077 93
U+1B50E	244 310 1366 5407 93
U+1B50F	244 310 1366 5737 93
U+1B510	244 310 1629 787 93
U+1B511	244 310 1629 1117 93
U+1B512	244 310 1629 1447 93
U+1B513	244 310 1629 1777 93
U+1B514	244 310 1629 2107 93
U+1B515	244 310 1629 2437 93
U+1B516	244 310 1629 2767 93
U+1B517	244 310 1629 3097 93
U+1B518	244 310 1629 3427 93
U+1B519	244 310 1629 3757 93
U+1B51A	244 310 1630 4087 93
U+1B51B	244 310 1630 4417 93
U+1B51C	244 310 1630 4747 93
U+1B51D	244 310 1630 5077 93
U+1B51E	244 310 1630 5407 93
U+1B51F	244 310 1629 5737 93
U+1B520	244 310 1893 787 93
U+1B521	244 310 1893 1117 93
U+1B522	244 310 1893 1447 93
U+1B523	244 310 1893 1777 93
U+1B524	244 310 1893 2107 93
U+1B525	244 310 1893 2437 93
U+1B526	244 310 1893 2767 93
U+1B527	244 310 1893 3097 93
U+1B528	244 310 1893 3427 93
U+1B529	244 310 1893 3757 93
U+1B52A	244 310 1894 4087 93
U+1B52B	244 310 1894 4417 93
U+1B52C	244 310 1894 4747 93
U+1B52D	244 310 1894 5077 93
U+1B52E	244 310 1894 5407 93
